time,variable,measurement
3.5,momentumZ,1.13064e+06
3.5,plastic_moment,0
3.5,total_frictional_work,9.123e+13
3.5,static_frictional_work,6.65928e+13
3.5,seismic_moment,5.8815e+17
3.5,potency,4.6996e+07
3.5,plastic_moment,0
4,gravitational_energy,0
4,acoustic_energy,0
4,acoustic_kinetic_energy,0
4,elastic_energy,9.34487e+13
4,elastic_kinetic_energy,1.91446e+13
4,momentumX,2.51835e+07
4,momentumY,1.70384e+07
4,momentumZ,-9.64018e+08
4,plastic_moment,0
4,total_frictional_work,1.11966e+14
4,static_frictional_work,8.07105e+13
4,seismic_moment,7.23656e+17
4,potency,5.78236e+07
4,plastic_moment,0
4.5,gravitational_energy,0
4.5,acoustic_energy,0
4.5,acoustic_kinetic_energy,0
4.5,elastic_energy,1.60827e+16
4.5,elastic_kinetic_energy,3.59368e+16
4.5,momentumX,-1.67512e+10
4.5,momentumY,-4.3988e+09
4.5,momentumZ,6.16725e+11
4.5,plastic_moment,0
4.5,total_frictional_work,1.2967e+14
4.5,static_frictional_work,9.25909e+13
4.5,seismic_moment,8.39031e+17
4.5,potency,6.70426e+07
4.5,plastic_moment,0
5,gravitational_energy,0
5,acoustic_energy,0
5,acoustic_kinetic_energy,0
5,elastic_energy,3.74647e+21
5,elastic_kinetic_energy,8.42807e+21
5,momentumX,6.81575e+12
5,momentumY,3.59942e+12
5,momentumZ,-3.90648e+14
5,plastic_moment,0
5,total_frictional_work,1.37783e+14
5,static_frictional_work,1.0015e+14
5,seismic_moment,9.35401e+17
5,potency,7.4743e+07
5,plastic_moment,0
5.5,gravitational_energy,0
5.5,acoustic_energy,0
5.5,acoustic_kinetic_energy,0
5.5,elastic_energy,8.85035e+26
5.5,elastic_kinetic_energy,1.99258e+27
5.5,momentumX,-2.66981e+15
5.5,momentumY,-2.58211e+15
5.5,momentumZ,2.46785e+17
5.5,plastic_moment,0
5.5,total_frictional_work,1.39977e+14
5.5,static_frictional_work,1.03927e+14
5.5,seismic_moment,9.87136e+17
5.5,potency,7.88769e+07
5.5,plastic_moment,0
6,gravitational_energy,0
6,acoustic_energy,0
6,acoustic_kinetic_energy,0
6,elastic_energy,2.11536e+32
6,elastic_kinetic_energy,4.76868e+32
6,momentumX,9.32048e+17
6,momentumY,1.7653e+18
6,momentumZ,-1.55679e+20
6,plastic_moment,0
6,total_frictional_work,1.41851e+14
6,static_frictional_work,1.06456e+14
6,seismic_moment,1.0047e+18
6,potency,8.028e+07
6,plastic_moment,0
6.5,gravitational_energy,0
6.5,acoustic_energy,0
6.5,acoustic_kinetic_energy,0
6.5,elastic_energy,5.15154e+37
6.5,elastic_kinetic_energy,1.16366e+38
6.5,momentumX,-2.31477e+20
6.5,momentumY,-1.17424e+21
6.5,momentumZ,9.81163e+22
6.5,plastic_moment,0
6.5,total_frictional_work,1.42792e+14
6.5,static_frictional_work,1.0862e+14
6.5,seismic_moment,1.01242e+18
6.5,potency,8.0897e+07
6.5,plastic_moment,0
7,gravitational_energy,0
7,acoustic_energy,0
7,acoustic_kinetic_energy,0
7,elastic_energy,1.2912e+43
7,elastic_kinetic_energy,2.92544e+43
7,momentumX,-2.497e+22
7,momentumY,7.67381e+23
7,momentumZ,-6.17966e+25
7,plastic_moment,0
7,total_frictional_work,1.43025e+14
7,static_frictional_work,1.10988e+14
7,seismic_moment,1.01647e+18
7,potency,8.12207e+07
7,plastic_moment,0
7.5,gravitational_energy,0
7.5,acoustic_energy,0
7.5,acoustic_kinetic_energy,0
7.5,elastic_energy,3.37427e+48
7.5,elastic_kinetic_energy,7.67704e+48
7.5,momentumX,9.82088e+25
7.5,momentumY,-4.9545e+26
7.5,momentumZ,3.89023e+28
7.5,plastic_moment,0
7.5,total_frictional_work,-1.6006e+15
7.5,static_frictional_work,1.7408e+15
7.5,seismic_moment,2.79102e+18
7.5,potency,2.23016e+08
7.5,plastic_moment,0
8,gravitational_energy,0
8,acoustic_energy,0
8,acoustic_kinetic_energy,0
8,elastic_energy,9.32235e+53
8,elastic_kinetic_energy,2.13223e+54
8,momentumX,-1.01808e+29
8,momentumY,3.17169e+29
8,momentumZ,-2.44808e+31
8,plastic_moment,0
8,total_frictional_work,-2.07475e+20
8,static_frictional_work,2.72376e+20
8,seismic_moment,1.10574e+21
8,potency,8.83536e+10
8,plastic_moment,0
8.5,gravitational_energy,0
8.5,acoustic_energy,0
8.5,acoustic_kinetic_energy,0
8.5,elastic_energy,2.75253e+59
8.5,elastic_kinetic_energy,6.33288e+59
8.5,momentumX,8.35021e+31
8.5,momentumY,-2.01816e+32
8.5,momentumZ,1.54011e+34
8.5,plastic_moment,0
8.5,total_frictional_work,-2.44004e+25
8.5,static_frictional_work,1.34471e+26
8.5,seismic_moment,5.49796e+23
8.5,potency,4.39314e+13
8.5,plastic_moment,0
9,gravitational_energy,0
9,acoustic_energy,0
9,acoustic_kinetic_energy,0
9,elastic_energy,8.71451e+64
9,elastic_kinetic_energy,2.01654e+65
9,momentumX,-6.20004e+34
9,momentumY,1.27865e+35
9,momentumZ,-9.68698e+36
9,plastic_moment,0
9,total_frictional_work,-1.20081e+31
9,static_frictional_work,1.48477e+31
9,seismic_moment,2.76978e+26
9,potency,2.21319e+16
9,plastic_moment,0
9.5,gravitational_energy,0
9.5,acoustic_energy,0
9.5,acoustic_kinetic_energy,0
9.5,elastic_energy,2.94141e+70
9.5,elastic_kinetic_energy,6.83983e+70
9.5,momentumX,4.36183e+37
9.5,momentumY,-8.07645e+37
9.5,momentumZ,6.09192e+39
9.5,plastic_moment,0
9.5,total_frictional_work,-1.4911e+36
9.5,static_frictional_work,7.35285e+36
9.5,seismic_moment,1.40017e+29
9.5,potency,1.1188e+19
9.5,plastic_moment,0
10,gravitational_energy,0
10,acoustic_energy,0
10,acoustic_kinetic_energy,0
10,elastic_energy,1.04565e+76
10,elastic_kinetic_energy,2.44058e+76
10,momentumX,-2.96903e+40
10,momentumY,5.09045e+40
10,momentumZ,-3.8306e+42
10,plastic_moment,0
10,total_frictional_work,-7.87426e+41
10,static_frictional_work,8.21579e+41
10,seismic_moment,7.22586e+31
10,potency,5.77381e+21
10,plastic_moment,0
10.5,gravitational_energy,0
10.5,acoustic_energy,0
10.5,acoustic_kinetic_energy,0
10.5,elastic_energy,3.86079e+81
10.5,elastic_kinetic_energy,9.03455e+81
10.5,momentumX,1.97763e+43
10.5,momentumY,-3.20362e+43
10.5,momentumZ,2.40846e+45
10.5,plastic_moment,0
10.5,total_frictional_work,-1.07562e+47
10.5,static_frictional_work,4.12417e+47
10.5,seismic_moment,3.74942e+34
10.5,potency,2.99597e+24
10.5,plastic_moment,0
11,gravitational_energy,0
11,acoustic_energy,0
11,acoustic_kinetic_energy,0
11,elastic_energy,1.46254e+87
11,elastic_kinetic_energy,3.42826e+87
11,momentumX,-1.29775e+46
11,momentumY,2.01411e+46
11,momentumZ,-1.51419e+48
11,plastic_moment,0
11,total_frictional_work,-6.44434e+52
11,static_frictional_work,4.75997e+52
11,seismic_moment,1.99736e+37
11,potency,1.59599e+27
11,plastic_moment,0
11.5,gravitational_energy,0
11.5,acoustic_energy,0
11.5,acoustic_kinetic_energy,0
11.5,elastic_energy,5.63246e+92
11.5,elastic_kinetic_energy,1.32167e+93
11.5,momentumX,8.4261e+48
11.5,momentumY,-1.26541e+49
11.5,momentumZ,9.51921e+50
11.5,plastic_moment,0
11.5,total_frictional_work,-1.00407e+58
11.5,static_frictional_work,2.46875e+58
11.5,seismic_moment,1.07099e+40
11.5,potency,8.55771e+29
11.5,plastic_moment,0
12,gravitational_energy,0
12,acoustic_energy,0
12,acoustic_kinetic_energy,0
12,elastic_energy,2.19144e+98
12,elastic_kinetic_energy,5.14562e+98
12,momentumX,-5.42885e+51
12,momentumY,7.94686e+51
12,momentumZ,-5.98416e+53
12,plastic_moment,0
12,total_frictional_work,-6.91549e+63
12,static_frictional_work,3.08468e+63
12,seismic_moment,5.92021e+42
12,potency,4.73054e+32
12,plastic_moment,0
